epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,2748.8,0.64336,0.53813,0.99928,0.98243,0.94785,0.98733,0.83856,0.63106,0.59629,0.77267,0.00149312,0.00149312,0.00149312
130,2768.05,0.75814,0.68569,1.08871,0.96104,0.9322,0.97789,0.81202,0.705,0.5765,0.77749,0.00148916,0.00148916,0.00148916
131,2787.44,0.6381,0.56206,0.95252,0.94518,0.91525,0.93266,0.78839,0.73553,0.67701,0.76497,0.0014852,0.0014852,0.0014852
132,2806.05,0.68217,0.50681,1.00005,0.98039,0.84746,0.91456,0.77876,0.71784,0.83835,0.75663,0.00148124,0.00148124,0.00148124
133,2825.19,0.67213,0.60605,0.96535,1,0.82758,0.9161,0.77517,0.73881,0.72261,0.76762,0.00147728,0.00147728,0.00147728
134,2843.77,0.70316,0.56365,1.0436,0.96242,0.89831,0.95293,0.79639,0.75087,0.61103,0.76663,0.00147332,0.00147332,0.00147332
135,2862.67,0.63816,0.53091,0.96062,0.99401,0.89831,0.98211,0.82412,0.69004,0.5199,0.75608,0.00146936,0.00146936,0.00146936
136,2881.56,0.67845,0.54634,0.97153,0.95811,0.94915,0.98611,0.82974,0.65201,0.55937,0.77498,0.0014654,0.0014654,0.0014654
137,2900.94,0.68491,0.5365,1.01819,0.9341,0.96098,0.98507,0.82702,0.68487,0.5919,0.75682,0.00146144,0.00146144,0.00146144
138,2920.6,0.80283,0.63382,1.06794,0.97901,0.89831,0.96976,0.79715,0.75837,0.52567,0.75086,0.00145748,0.00145748,0.00145748
139,2939.71,0.63403,0.51308,0.99575,0.9645,0.88136,0.95666,0.81198,0.73886,0.45663,0.73309,0.00145352,0.00145352,0.00145352
140,2958.84,0.67593,0.56091,1.01577,0.97929,0.88136,0.97176,0.81409,0.71718,0.45074,0.72913,0.00144956,0.00144956,0.00144956
141,2978.03,0.64722,0.52581,1.00439,0.93559,0.94915,0.98205,0.82018,0.73133,0.53259,0.75015,0.0014456,0.0014456,0.0014456
142,2997.9,0.61337,0.50533,0.95004,0.96808,0.9322,0.9815,0.79061,0.76032,0.70932,0.75721,0.00144164,0.00144164,0.00144164
