epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,25471.5,0.1747,0.19618,0.14331,0.75199,0.9947,0.99832,0.99377,0.99162,0.9947,0.99832,0.99377,0.93519,0.11936,0.14773,0.08853,0.57088,0.000476429,0.000476429,0.000476429
103,25717.5,0.17549,0.19391,0.14283,0.74841,0.99354,0.99887,0.99407,0.99233,0.99354,0.99887,0.99407,0.93286,0.11041,0.13863,0.08384,0.56972,0.000466997,0.000466997,0.000466997
104,25955,0.17187,0.20283,0.16526,0.72697,0.99458,0.99938,0.99405,0.99278,0.99458,0.99938,0.99405,0.93752,0.10444,0.14511,0.07989,0.569,0.000457566,0.000457566,0.000457566
105,26193.9,0.17291,0.1989,0.13992,0.73983,0.9949,0.99895,0.99392,0.99253,0.9949,0.99895,0.99392,0.93685,0.11117,0.14659,0.0884,0.56943,0.000448134,0.000448134,0.000448134
106,26432.2,0.17184,0.19753,0.15938,0.73652,0.99484,0.99778,0.99214,0.99069,0.99484,0.99778,0.99214,0.93154,0.11279,0.15016,0.09025,0.56922,0.000438703,0.000438703,0.000438703
107,26669.9,0.1759,0.20121,0.15446,0.74492,0.99504,0.99873,0.99188,0.99045,0.99504,0.99873,0.99188,0.93334,0.10816,0.13515,0.08958,0.56933,0.000429272,0.000429272,0.000429272
108,26907.6,0.18268,0.20304,0.17,0.75864,0.99321,0.99937,0.99267,0.99093,0.99321,0.99937,0.99267,0.92802,0.1155,0.1385,0.08695,0.57016,0.00041984,0.00041984,0.00041984
109,27145.7,0.16568,0.19331,0.13307,0.73064,0.99489,0.99878,0.99267,0.99088,0.99489,0.99878,0.99267,0.92891,0.11444,0.14143,0.08267,0.56988,0.000410409,0.000410409,0.000410409
110,27383.7,0.16951,0.19567,0.16076,0.74465,0.99426,0.99938,0.99265,0.9914,0.99426,0.99938,0.99265,0.93367,0.11017,0.14377,0.08902,0.56935,0.000400977,0.000400977,0.000400977
111,27630.6,0.16467,0.19255,0.14548,0.74724,0.99416,0.99938,0.99322,0.99193,0.99416,0.99938,0.99322,0.93145,0.10572,0.14403,0.09173,0.56857,0.000391546,0.000391546,0.000391546
